Name,Age,Salary,Gender,Department,Position,Joining Date,Performance Score,Email,Phone Number
 Frank ,30,50000,Male,Marketing,Clerk,2018-04-05,D,no_email@example.com,098-765-4321
 Frank ,35,50000,Male,IT,Director,2018-04-05,A,email@example.com, 
 Jack ,35,50000,Other,Finance,Clerk,2018-04-05,D,user@domain.com, 
 David ,50,50000,Female,Sales,Analyst,2018-04-05,F,user@domain.com,000-000-0000
 Frank ,25,60000,Male,Finance,Clerk,,D,no_email@example.com,098-765-4321
 Bob ,30,65000,Other,HR,Director,,D,no_email@example.com, 
 Jack ,50,60216,Other,Sales,Director,,B,name@company.org,098-765-4321
 Bob ,40,55000,Female,Finance,Manager,2018-04-05,F,user@domain.com,555-555-5555
 Jack ,25,60000,Female,Marketing,Assistant,,D,no_email@example.com,555-555-5555
 David ,25,60000,Other,Sales,Manager,2018-04-05,D,email@example.com,555-555-5555
 Hannah ,40,60216,Male,Sales,Director,,F,no_email@example.com, 
 Grace ,35,60216,Other,IT,Analyst,,F,email@example.com,555-555-5555
 Ivy ,50,55000,Female,Marketing,Analyst,,A,user@domain.com,000-000-0000
 Hannah ,30,55000,Male,HR,Manager,,B,user@domain.com,000-000-0000
 Eve ,30,60216,Male,Finance,Director,,F,email@example.com, 
 Bob ,30,50000,Other,IT,Analyst,,F,user@domain.com,098-765-4321
 Eve ,40,60000,Female,Finance,Director,,C,no_email@example.com,123-456-7890
 Hannah ,25,70000,Other,HR,Analyst,,F,user@domain.com,098-765-4321
 Jack ,25,55000,Other,HR,Director,2018-04-05,B,no_email@example.com,098-765-4321
 Ivy ,30,55000,Other,Sales,Clerk,2018-04-05,D,no_email@example.com,098-765-4321
 Ivy ,25,60216,Male,HR,Director,,D,name@company.org,098-765-4321
 Alice ,25,65000,Male,Finance,Director,2018-04-05,D,user@domain.com,123-456-7890
 Ivy ,30,70000,Female,Marketing,Manager,,D,user@domain.com,555-555-5555
 Grace ,50,70000,Female,Marketing,Clerk,2018-04-05,C,no_email@example.com,098-765-4321
 Ivy ,50,55000,Other,Sales,Assistant,,F,no_email@example.com,000-000-0000
 Hannah ,30,50000,Other,Finance,Manager,,D,email@example.com, 
 Alice ,40,65000,Other,Finance,Assistant,,A,email@example.com, 
 Hannah ,25,70000,Female,HR,Analyst,,D,email@example.com,000-000-0000
 Hannah ,25,55000,Male,Finance,Assistant,,F,no_email@example.com,098-765-4321
 Charlie ,40,70000,Male,IT,Director,,D,email@example.com,123-456-7890
 Alice ,50,65000,Other,HR,Assistant,,C,email@example.com,555-555-5555
 Hannah ,35,65000,Other,IT,Manager,,B,name@company.org, 
 Charlie ,35,60000,Other,Sales,Manager,,B,email@example.com,555-555-5555
 Charlie ,35,60216,Other,Marketing,Assistant,,F,user@domain.com,123-456-7890
 Alice ,50,60216,Female,Sales,Manager,,B,no_email@example.com, 
 Eve ,50,55000,Male,Marketing,Manager,,B,no_email@example.com,555-555-5555
 Jack ,40,65000,Other,Sales,Assistant,,A,name@company.org,123-456-7890
 Grace ,25,60000,Female,Finance,Clerk,,F,no_email@example.com,555-555-5555
 Jack ,40,60000,Other,IT,Clerk,,F,no_email@example.com,098-765-4321
 Ivy ,40,70000,Other,Marketing,Analyst,,B,user@domain.com,123-456-7890
 Grace ,50,70000,Male,HR,Manager,,B,email@example.com,555-555-5555
 Ivy ,35,60000,Other,IT,Assistant,2018-04-05,B,user@domain.com,098-765-4321
 Hannah ,30,70000,Male,HR,Manager,,C,email@example.com,098-765-4321
 Bob ,25,65000,Male,IT,Director,,D,email@example.com,123-456-7890
 Alice ,50,50000,Male,IT,Manager,,C,no_email@example.com,000-000-0000
 Grace ,35,65000,Female,Sales,Manager,,F,email@example.com, 
 Grace ,30,60000,Female,Marketing,Clerk,,A,name@company.org,123-456-7890
 Hannah ,30,60000,Male,Marketing,Assistant,2018-04-05,D,name@company.org,098-765-4321
 Eve ,50,65000,Other,IT,Manager,,A,name@company.org,098-765-4321
 Charlie ,30,70000,Male,Finance,Clerk,,F,no_email@example.com,123-456-7890
 Hannah ,25,70000,Other,Finance,Analyst,,F,user@domain.com,000-000-0000
 Frank ,30,60216,Male,HR,Clerk,,A,no_email@example.com, 
 Charlie ,50,60000,Other,HR,Clerk,,A,email@example.com,555-555-5555
 Alice ,50,55000,Female,Sales,Clerk,,A,no_email@example.com,123-456-7890
 Charlie ,35,60216,Other,IT,Manager,,F,user@domain.com, 
 Eve ,30,70000,Male,HR,Manager,,B,user@domain.com, 
 Charlie ,25,65000,Female,HR,Analyst,,A,no_email@example.com,098-765-4321
 Alice ,40,70000,Other,IT,Director,,D,name@company.org,555-555-5555
 Eve ,35,65000,Other,Sales,Director,,F,name@company.org,123-456-7890
 Jack ,30,60216,Other,HR,Director,2018-04-05,C,user@domain.com,098-765-4321
 Grace ,30,60000,Other,Sales,Analyst,,C,no_email@example.com,098-765-4321
 Grace ,35,70000,Other,Marketing,Director,,D,no_email@example.com,000-000-0000
 Ivy ,50,65000,Female,Sales,Director,2018-04-05,B,email@example.com, 
 Jack ,30,60000,Female,Finance,Clerk,,A,name@company.org,123-456-7890
 Jack ,30,55000,Female,Finance,Manager,2018-04-05,F,user@domain.com,123-456-7890
 Charlie ,25,65000,Female,Sales,Manager,,A,no_email@example.com,123-456-7890
 Grace ,30,60216,Male,Finance,Clerk,,F,name@company.org,098-765-4321
 Alice ,30,55000,Female,Marketing,Clerk,,C,email@example.com,000-000-0000
 David ,40,55000,Other,IT,Clerk,,A,no_email@example.com,555-555-5555
 David ,25,50000,Other,Finance,Manager,,D,user@domain.com,098-765-4321
 Eve ,25,70000,Female,Finance,Director,,B,name@company.org,555-555-5555
 Grace ,35,65000,Other,Sales,Clerk,,D,no_email@example.com,000-000-0000
 Grace ,35,55000,Female,Marketing,Analyst,,B,email@example.com, 
 David ,40,50000,Other,IT,Clerk,,A,email@example.com,123-456-7890
 Grace ,50,60216,Male,Sales,Assistant,,A,name@company.org,555-555-5555
 Charlie ,25,60000,Male,Sales,Clerk,,B,no_email@example.com,098-765-4321
 Frank ,40,65000,Female,Marketing,Manager,,C,email@example.com,555-555-5555
 Bob ,35,55000,Female,IT,Clerk,,F,user@domain.com, 
 Jack ,35,70000,Female,Marketing,Assistant,,D,email@example.com,123-456-7890
 Ivy ,25,50000,Other,IT,Analyst,,D,no_email@example.com,555-555-5555
 Eve ,30,55000,Female,Marketing,Director,,D,no_email@example.com, 
 Frank ,30,70000,Male,Sales,Clerk,,A,no_email@example.com,098-765-4321
 David ,35,55000,Other,Sales,Assistant,,D,name@company.org,000-000-0000
 Jack ,50,65000,Female,HR,Assistant,,F,no_email@example.com,098-765-4321
 Grace ,50,65000,Other,Finance,Analyst,2018-04-05,F,email@example.com,123-456-7890
 Ivy ,35,65000,Other,Marketing,Manager,,B,email@example.com,098-765-4321
 Grace ,30,60216,Female,HR,Clerk,,A,no_email@example.com,098-765-4321
 Alice ,30,60216,Other,Finance,Assistant,,F,no_email@example.com,098-765-4321
 Alice ,40,50000,Male,Marketing,Analyst,,C,user@domain.com,098-765-4321
 Ivy ,50,65000,Male,IT,Director,2018-04-05,A,no_email@example.com,123-456-7890
 Ivy ,40,70000,Other,Finance,Assistant,,A,user@domain.com, 
 David ,50,55000,Female,Sales,Analyst,,F,email@example.com,555-555-5555
 Ivy ,30,60000,Other,HR,Manager,,C,user@domain.com,000-000-0000
 Charlie ,30,70000,Male,Finance,Manager,2018-04-05,B,user@domain.com,555-555-5555
 Grace ,25,60216,Other,Finance,Assistant,,F,name@company.org,555-555-5555
 Frank ,40,60216,Other,Sales,Assistant,,C,no_email@example.com,000-000-0000
 Hannah ,35,70000,Male,Marketing,Clerk,,A,user@domain.com,123-456-7890
 Ivy ,40,60216,Other,IT,Analyst,,C,email@example.com,000-000-0000
 Eve ,35,65000,Other,Sales,Assistant,,A,no_email@example.com,123-456-7890
 Alice ,30,50000,Female,IT,Clerk,,F,user@domain.com,555-555-5555
 Charlie ,40,55000,Female,Marketing,Clerk,,F,no_email@example.com,123-456-7890
 Jack ,30,50000,Male,Finance,Assistant,,D,name@company.org, 
 Hannah ,30,55000,Male,IT,Manager,,D,email@example.com,000-000-0000
 Frank ,30,55000,Male,HR,Analyst,,D,name@company.org, 
 Hannah ,25,50000,Female,HR,Analyst,,F,no_email@example.com,555-555-5555
 Ivy ,40,70000,Male,Sales,Manager,,B,user@domain.com,000-000-0000
 David ,30,55000,Male,Marketing,Assistant,,F,user@domain.com,555-555-5555
 Alice ,35,50000,Male,Sales,Analyst,,C,no_email@example.com, 
 Alice ,30,55000,Female,Sales,Assistant,,F,user@domain.com,555-555-5555
 Jack ,30,60000,Other,Sales,Assistant,2018-04-05,F,email@example.com,000-000-0000
 David ,35,70000,Male,HR,Clerk,,A,no_email@example.com,000-000-0000
 Grace ,30,65000,Other,HR,Manager,,A,name@company.org,555-555-5555
 Bob ,30,55000,Male,Sales,Assistant,,A,no_email@example.com,000-000-0000
 Charlie ,40,60000,Other,HR,Director,,F,user@domain.com,000-000-0000
 Alice ,40,65000,Female,Marketing,Manager,,B,name@company.org,555-555-5555
 Eve ,50,65000,Female,Sales,Analyst,,C,no_email@example.com, 
 Alice ,50,55000,Male,HR,Clerk,,C,no_email@example.com,000-000-0000
 Hannah ,25,50000,Other,IT,Analyst,,B,name@company.org,000-000-0000
 Alice ,30,55000,Female,Sales,Analyst,,B,name@company.org,000-000-0000
 Alice ,40,60000,Male,Sales,Manager,,C,name@company.org,000-000-0000
 Bob ,30,65000,Male,Marketing,Analyst,,D,email@example.com,555-555-5555
 Bob ,35,55000,Female,Finance,Assistant,,A,no_email@example.com, 
 Frank ,30,50000,Female,Finance,Analyst,2018-04-05,A,name@company.org, 
 Grace ,30,55000,Male,Marketing,Clerk,,C,no_email@example.com,123-456-7890
 Eve ,50,70000,Other,Marketing,Clerk,2018-04-05,B,name@company.org,000-000-0000
 Alice ,30,50000,Other,Marketing,Director,2018-04-05,D,no_email@example.com,000-000-0000
 Alice ,25,60000,Other,Finance,Clerk,,C,no_email@example.com,123-456-7890
 Charlie ,30,65000,Male,Marketing,Analyst,,A,no_email@example.com, 
 Bob ,50,55000,Female,HR,Clerk,2018-04-05,F,user@domain.com,098-765-4321
 Eve ,35,50000,Male,Sales,Manager,,B,name@company.org,098-765-4321
 Jack ,50,70000,Female,Sales,Clerk,,F,user@domain.com, 
 Frank ,25,50000,Other,IT,Assistant,,C,no_email@example.com,000-000-0000
 Grace ,30,60216,Other,IT,Manager,,A,user@domain.com,098-765-4321
 David ,35,70000,Female,Sales,Director,2018-04-05,D,no_email@example.com,555-555-5555
 Grace ,25,60000,Female,HR,Assistant,,F,no_email@example.com,555-555-5555
 Hannah ,50,65000,Male,Finance,Analyst,,D,no_email@example.com,123-456-7890
 Alice ,25,60000,Other,Finance,Analyst,,A,user@domain.com, 
 Frank ,30,55000,Male,HR,Analyst,2018-04-05,F,name@company.org, 
 Hannah ,40,50000,Male,Finance,Assistant,,D,user@domain.com,098-765-4321
 Eve ,25,60216,Male,Marketing,Assistant,,D,name@company.org,000-000-0000
 David ,25,70000,Other,Sales,Assistant,2018-04-05,F,name@company.org, 
 Bob ,50,70000,Male,Sales,Manager,,A,no_email@example.com,098-765-4321
 Frank ,50,50000,Male,HR,Manager,,D,user@domain.com,098-765-4321
 Frank ,35,60216,Male,Finance,Analyst,,C,name@company.org, 
 Alice ,50,50000,Male,IT,Clerk,,F,no_email@example.com,098-765-4321
 Ivy ,30,55000,Male,IT,Analyst,2018-04-05,B,name@company.org,123-456-7890
 Frank ,30,60000,Male,Finance,Director,,B,no_email@example.com,123-456-7890
 Charlie ,30,70000,Other,IT,Manager,,A,user@domain.com, 
 David ,40,55000,Male,HR,Assistant,,C,user@domain.com,000-000-0000
 David ,40,60000,Female,HR,Manager,,D,user@domain.com,123-456-7890
 Charlie ,30,55000,Male,Finance,Assistant,,B,name@company.org,123-456-7890
 Jack ,40,60216,Male,IT,Director,,A,email@example.com, 
 Charlie ,35,70000,Other,HR,Director,,C,name@company.org,555-555-5555
 Charlie ,50,50000,Other,HR,Manager,,C,name@company.org,098-765-4321
 David ,30,50000,Female,Marketing,Assistant,,A,no_email@example.com,123-456-7890
 Grace ,40,60000,Female,Marketing,Director,,A,no_email@example.com,555-555-5555
 David ,30,65000,Other,HR,Analyst,,D,name@company.org,000-000-0000
 Ivy ,30,60216,Other,Finance,Analyst,,A,no_email@example.com,555-555-5555
 Alice ,25,60000,Male,Sales,Assistant,,D,no_email@example.com, 
 Hannah ,50,65000,Other,Sales,Manager,,D,name@company.org,000-000-0000
 Grace ,30,55000,Female,HR,Director,2018-04-05,F,email@example.com,000-000-0000
 Bob ,25,60216,Male,HR,Manager,,C,no_email@example.com,555-555-5555
 Hannah ,40,55000,Female,HR,Analyst,2018-04-05,C,user@domain.com, 
 Alice ,25,70000,Male,Finance,Director,,C,name@company.org,123-456-7890
 Ivy ,50,60216,Other,Marketing,Manager,,F,name@company.org,555-555-5555
 Ivy ,30,65000,Female,HR,Clerk,2018-04-05,D,no_email@example.com,123-456-7890
 Bob ,30,70000,Male,HR,Assistant,,D,no_email@example.com,555-555-5555
 Grace ,40,50000,Male,IT,Assistant,2018-04-05,A,no_email@example.com,123-456-7890
 Jack ,30,65000,Other,Finance,Clerk,,F,no_email@example.com,555-555-5555
 Charlie ,50,60000,Other,HR,Analyst,2018-04-05,A,user@domain.com,000-000-0000
 Grace ,40,50000,Other,IT,Director,,F,no_email@example.com,098-765-4321
 Jack ,35,50000,Female,Sales,Assistant,,A,no_email@example.com,000-000-0000
 Ivy ,25,60000,Male,HR,Clerk,,B,no_email@example.com,123-456-7890
 David ,50,60216,Other,HR,Clerk,,C,no_email@example.com, 
 Alice ,35,50000,Female,IT,Analyst,,C,email@example.com,000-000-0000
 Bob ,30,65000,Female,Finance,Analyst,,D,email@example.com,098-765-4321
 Alice ,30,70000,Female,HR,Manager,,B,name@company.org,123-456-7890
 Eve ,40,50000,Other,Sales,Assistant,2018-04-05,C,name@company.org,000-000-0000
 Eve ,25,65000,Other,HR,Manager,2018-04-05,D,no_email@example.com,555-555-5555
 Grace ,40,55000,Male,Sales,Clerk,,B,no_email@example.com, 
 Ivy ,30,65000,Male,Marketing,Director,,C,user@domain.com,123-456-7890
 Ivy ,40,70000,Other,Marketing,Director,,A,user@domain.com,000-000-0000
 Charlie ,25,65000,Female,Sales,Analyst,,F,email@example.com,123-456-7890
 Charlie ,30,60000,Female,Finance,Director,,B,name@company.org,555-555-5555
 Charlie ,40,70000,Female,HR,Director,,D,email@example.com,098-765-4321
 David ,30,60216,Male,HR,Director,2018-04-05,B,email@example.com,000-000-0000
 Hannah ,50,55000,Female,Marketing,Clerk,,D,name@company.org,123-456-7890
 Frank ,30,60000,Male,Sales,Director,,B,user@domain.com,123-456-7890
 Hannah ,50,60216,Male,HR,Director,,D,name@company.org,123-456-7890
 Alice ,30,65000,Female,HR,Director,,C,no_email@example.com,098-765-4321
 Hannah ,30,70000,Female,Finance,Manager,,A,no_email@example.com,123-456-7890
 David ,50,55000,Other,IT,Clerk,,C,no_email@example.com, 
 Alice ,35,60000,Other,Marketing,Analyst,2018-04-05,A,no_email@example.com, 
 Hannah ,25,60216,Female,Marketing,Manager,,C,user@domain.com,123-456-7890
 David ,35,60216,Male,IT,Assistant,,C,user@domain.com, 
 Frank ,40,55000,Male,HR,Clerk,,B,no_email@example.com,000-000-0000
 Hannah ,30,65000,Male,Finance,Clerk,2018-04-05,F,email@example.com, 
 David ,35,55000,Male,Finance,Assistant,,D,no_email@example.com,123-456-7890
 Charlie ,30,60216,Male,Marketing,Assistant,,D,no_email@example.com,555-555-5555
 Ivy ,40,50000,Other,Finance,Assistant,2018-04-05,D,email@example.com,000-000-0000
 Charlie ,40,60000,Female,IT,Analyst,,A,name@company.org,098-765-4321
 Ivy ,35,55000,Other,HR,Director,2018-04-05,D,name@company.org,123-456-7890
 Bob ,35,60216,Male,IT,Clerk,,D,user@domain.com,098-765-4321
 Bob ,30,65000,Male,Sales,Director,,B,no_email@example.com,555-555-5555
 Bob ,25,60216,Male,Marketing,Director,,C,user@domain.com,098-765-4321
 Frank ,35,65000,Male,Finance,Assistant,2018-04-05,D,name@company.org,123-456-7890
 Charlie ,35,55000,Female,Sales,Analyst,,F,email@example.com,123-456-7890
 Ivy ,50,65000,Male,Finance,Manager,,D,user@domain.com,555-555-5555
 David ,30,70000,Female,HR,Analyst,,A,no_email@example.com,123-456-7890
 Alice ,50,70000,Male,HR,Director,,A,no_email@example.com,555-555-5555
 David ,50,70000,Female,HR,Analyst,,A,email@example.com,555-555-5555
 Alice ,40,50000,Other,Finance,Assistant,2018-04-05,D,name@company.org,123-456-7890
 Eve ,25,55000,Male,Sales,Manager,2018-04-05,B,no_email@example.com, 
 David ,30,60216,Female,HR,Assistant,,F,no_email@example.com,555-555-5555
 Hannah ,30,60216,Other,Sales,Manager,,D,no_email@example.com,123-456-7890
 Hannah ,30,50000,Male,Finance,Director,,B,user@domain.com, 
 Grace ,35,65000,Male,Sales,Manager,,B,name@company.org,555-555-5555
 Charlie ,35,50000,Male,Finance,Manager,,D,user@domain.com, 
 Alice ,30,65000,Female,Finance,Manager,,D,name@company.org,000-000-0000
 Alice ,35,65000,Female,Marketing,Analyst,,B,no_email@example.com,000-000-0000
 Charlie ,25,60000,Other,Finance,Analyst,,B,no_email@example.com, 
 Frank ,50,60216,Female,Finance,Director,2018-04-05,B,user@domain.com,555-555-5555
 Grace ,35,70000,Female,IT,Manager,,D,no_email@example.com,123-456-7890
 Frank ,40,65000,Male,HR,Clerk,,B,name@company.org,098-765-4321
 Frank ,35,60000,Male,Marketing,Director,,A,user@domain.com,123-456-7890
 Frank ,30,60216,Male,Marketing,Manager,,D,user@domain.com,098-765-4321
 Charlie ,25,70000,Male,Marketing,Manager,,A,no_email@example.com,098-765-4321
 Frank ,30,65000,Male,IT,Analyst,,C,user@domain.com,555-555-5555
 Hannah ,30,65000,Male,Finance,Director,,D,no_email@example.com, 
 Bob ,40,50000,Male,HR,Manager,,C,no_email@example.com,123-456-7890
 Eve ,25,50000,Other,Sales,Manager,,B,no_email@example.com, 
 Alice ,25,60216,Other,Finance,Director,2018-04-05,B,name@company.org,000-000-0000
 Alice ,25,70000,Other,IT,Clerk,,F,no_email@example.com,555-555-5555
 Eve ,25,65000,Other,Finance,Director,,B,no_email@example.com,555-555-5555
 Charlie ,25,60216,Male,Finance,Director,,C,email@example.com,000-000-0000
 David ,40,60216,Other,IT,Clerk,,B,email@example.com,123-456-7890
 Charlie ,35,55000,Male,Marketing,Director,,D,user@domain.com,000-000-0000
 Alice ,30,50000,Other,Marketing,Manager,,B,user@domain.com,123-456-7890
 Alice ,25,70000,Female,HR,Director,,F,email@example.com,098-765-4321
 Eve ,35,65000,Other,HR,Clerk,,B,no_email@example.com,555-555-5555
 Frank ,35,60216,Other,Marketing,Assistant,2018-04-05,C,user@domain.com,123-456-7890
 Charlie ,30,65000,Male,Sales,Director,,C,no_email@example.com, 
 Ivy ,40,55000,Other,Finance,Analyst,,B,no_email@example.com, 
 Eve ,30,70000,Female,Sales,Manager,,C,no_email@example.com,555-555-5555
 Hannah ,30,60216,Male,Finance,Manager,,C,user@domain.com,000-000-0000
 Alice ,35,65000,Male,Marketing,Analyst,,F,no_email@example.com,000-000-0000
 Eve ,50,50000,Other,HR,Analyst,2018-04-05,D,user@domain.com,123-456-7890
 Charlie ,50,55000,Male,HR,Director,,F,user@domain.com,000-000-0000
 Alice ,30,70000,Male,Sales,Analyst,,A,no_email@example.com,555-555-5555
 David ,30,55000,Male,HR,Assistant,,F,email@example.com,123-456-7890
 Eve ,35,50000,Male,Marketing,Clerk,,B,no_email@example.com,098-765-4321
 Grace ,40,70000,Male,Sales,Analyst,,D,no_email@example.com,000-000-0000
 Alice ,30,55000,Male,Finance,Analyst,,B,name@company.org,000-000-0000
 Charlie ,35,60000,Female,HR,Assistant,,A,no_email@example.com,123-456-7890
 Bob ,35,50000,Other,IT,Manager,2018-04-05,D,user@domain.com, 
 Ivy ,25,50000,Female,HR,Manager,,C,user@domain.com,000-000-0000
 Jack ,40,50000,Male,Finance,Director,,F,no_email@example.com,555-555-5555
 Frank ,25,60000,Male,Sales,Assistant,,B,name@company.org,000-000-0000
 Jack ,30,60000,Other,Finance,Clerk,,A,no_email@example.com,098-765-4321
 Charlie ,25,65000,Female,IT,Clerk,,C,name@company.org,000-000-0000
 Hannah ,25,60216,Other,Marketing,Assistant,,F,name@company.org, 
 Hannah ,30,55000,Female,HR,Clerk,,C,no_email@example.com,000-000-0000
 Bob ,50,65000,Male,Sales,Manager,2018-04-05,F,user@domain.com,123-456-7890
 Frank ,35,55000,Other,Marketing,Clerk,,D,user@domain.com,000-000-0000
 Grace ,40,60216,Other,Finance,Clerk,,C,name@company.org, 
 Bob ,25,60000,Male,Sales,Assistant,,C,user@domain.com,123-456-7890
 Jack ,40,60216,Other,Marketing,Assistant,,C,email@example.com,555-555-5555
 Bob ,50,60000,Female,Sales,Clerk,,D,name@company.org,123-456-7890
 Jack ,50,60216,Female,IT,Analyst,,A,user@domain.com,098-765-4321
 Alice ,25,65000,Female,IT,Assistant,,F,email@example.com,123-456-7890
 Hannah ,30,70000,Female,HR,Director,2018-04-05,C,no_email@example.com,555-555-5555
 Alice ,25,65000,Male,HR,Director,,D,user@domain.com,000-000-0000
 Ivy ,30,55000,Other,IT,Manager,2018-04-05,A,email@example.com,123-456-7890
 Frank ,35,65000,Female,Sales,Clerk,,F,no_email@example.com,123-456-7890
 Grace ,30,50000,Male,IT,Analyst,,D,no_email@example.com,123-456-7890
 Jack ,25,55000,Other,HR,Manager,,F,email@example.com,123-456-7890
 Grace ,40,60216,Other,IT,Clerk,2018-04-05,C,name@company.org,555-555-5555
 Jack ,30,55000,Male,IT,Assistant,2018-04-05,A,name@company.org, 
 Charlie ,30,70000,Male,Sales,Director,,D,user@domain.com, 
 Bob ,25,60000,Female,Marketing,Analyst,,A,no_email@example.com,123-456-7890
 Ivy ,30,60216,Other,HR,Director,,C,name@company.org,555-555-5555
 Hannah ,40,55000,Other,Sales,Assistant,,A,name@company.org,555-555-5555
 Jack ,50,60216,Male,IT,Clerk,,A,no_email@example.com,123-456-7890
 Grace ,30,60216,Other,IT,Assistant,2018-04-05,B,no_email@example.com,098-765-4321
 Ivy ,50,60216,Female,Marketing,Assistant,,A,name@company.org,123-456-7890
 David ,40,60000,Other,HR,Director,,F,email@example.com,098-765-4321
 David ,25,65000,Male,HR,Analyst,,D,user@domain.com,123-456-7890
 Alice ,35,60216,Male,Finance,Assistant,,B,name@company.org,098-765-4321
 Hannah ,30,50000,Female,HR,Director,,D,name@company.org,098-765-4321
 Charlie ,35,70000,Female,Marketing,Analyst,2018-04-05,D,no_email@example.com,123-456-7890
 Grace ,40,60000,Other,Finance,Clerk,,C,email@example.com,098-765-4321
 Bob ,30,55000,Other,Finance,Clerk,,C,user@domain.com,000-000-0000
 Bob ,50,60000,Male,IT,Manager,,B,name@company.org, 
 Grace ,30,55000,Female,IT,Director,,C,user@domain.com,555-555-5555
 Frank ,35,60000,Female,HR,Analyst,2018-04-05,C,no_email@example.com,098-765-4321
